date,equity,cash,positions,num_positions
2025-09-14,100000.0,100000.0,0.0,0
2025-09-15,100000.0,100000.0,0.0,0
2025-09-16,100000.0,100000.0,0.0,0
2025-09-17,100000.0,100000.0,0.0,0
2025-09-18,100000.0,100000.0,0.0,0
2025-09-19,100000.0,100000.0,0.0,0
2025-09-20,100000.0,100000.0,0.0,0
2025-09-21,100000.0,100000.0,0.0,0
2025-09-22,100000.0,100000.0,0.0,0
2025-09-23,100000.0,100000.0,0.0,0
2025-09-24,100000.0,100000.0,0.0,0
2025-09-25,100000.0,100000.0,0.0,0
2025-09-26,100000.0,100000.0,0.0,0
2025-09-27,100000.0,100000.0,0.0,0
2025-09-28,100000.0,100000.0,0.0,0
2025-09-29,100000.0,100000.0,0.0,0
2025-09-30,100000.0,100000.0,0.0,0
2025-10-01,100000.0,100000.0,0.0,0
2025-10-02,100000.0,100000.0,0.0,0
2025-10-03,100000.0,100000.0,0.0,0
2025-10-04,99909.9970153003,39928.001214100106,59981.995801200195,3
2025-10-05,100344.12352498376,39928.001214100106,60416.12231088366,3
2025-10-06,101834.03151456392,19524.51143104591,82309.520083518,4
2025-10-07,99839.60382476571,57347.49691255583,42492.106912209885,2
2025-10-08,100213.5430749608,57347.49691255583,42866.04616240498,2
2025-10-09,99040.41441930103,57347.49691255583,41692.9175067452,2
2025-10-10,94903.79715920017,75742.90209076654,19160.89506843363,1
2025-10-11,95470.3841676729,75742.90209076654,19727.482076906363,1
2025-10-12,98353.39475660295,56036.793482486144,42316.60127411681,2
2025-10-13,98248.08177976117,56036.793482486144,42211.28829727502,2
2025-10-14,96386.96249576281,56036.793482486144,40350.16901327667,2
2025-10-15,95172.12508384742,36968.084791500834,58204.04029234659,3
2025-10-16,93933.21733075708,74036.1067507006,19897.11058005648,1
2025-10-17,92652.66117173036,74036.1067507006,18616.554421029763,1
2025-10-18,93022.50692450028,74036.1067507006,18986.400173799695,1
2025-10-19,93268.86412919365,74609.49162566662,18659.37250352704,1
2025-10-20,93105.95523853955,74609.49162566662,18496.463612872936,1
2025-10-21,92382.53216683201,74609.49162566662,17773.040541165392,1
2025-10-22,92601.9767623657,92601.9767623657,0.0,0
2025-10-23,92601.9767623657,92601.9767623657,0.0,0
2025-10-24,92601.9767623657,92601.9767623657,0.0,0
2025-10-25,92601.9767623657,92601.9767623657,0.0,0
2025-10-26,92601.9767623657,92601.9767623657,0.0,0
2025-10-27,92601.9767623657,92601.9767623657,0.0,0
2025-10-28,92601.9767623657,92601.9767623657,0.0,0
2025-10-29,92601.9767623657,92601.9767623657,0.0,0
2025-10-30,92574.1869091393,74053.79155666617,18520.39535247314,1
2025-10-31,93052.82374481426,36760.024804620654,56292.79894019361,3
2025-11-01,93002.69653979968,73981.19591398451,19021.500625815177,1
2025-11-02,93136.40975009721,93136.40975009721,0.0,0
2025-11-03,93136.40975009721,93136.40975009721,0.0,0
2025-11-04,93136.40975009721,93136.40975009721,0.0,0
2025-11-05,93136.40975009721,93136.40975009721,0.0,0
2025-11-06,93136.40975009721,93136.40975009721,0.0,0
2025-11-07,93136.40975009721,93136.40975009721,0.0,0
2025-11-08,93136.40975009721,93136.40975009721,0.0,0
2025-11-09,93136.40975009721,93136.40975009721,0.0,0
2025-11-10,93080.51766483119,55831.54381210551,37248.973852725685,2
2025-11-11,90459.3645168517,72823.91527557239,17635.449241279297,1
2025-11-12,90432.81732167352,72823.91527557239,17608.90204610112,1
2025-11-13,89924.86189725011,89924.86189725011,0.0,0
2025-11-14,89924.86189725011,89924.86189725011,0.0,0
2025-11-15,89924.86189725011,89924.86189725011,0.0,0
2025-11-16,89924.86189725011,89924.86189725011,0.0,0
2025-11-17,89924.86189725011,89924.86189725011,0.0,0
2025-11-18,89924.86189725011,89924.86189725011,0.0,0
2025-11-19,89924.86189725011,89924.86189725011,0.0,0
2025-11-20,89924.86189725011,89924.86189725011,0.0,0
2025-11-21,89924.86189725011,89924.86189725011,0.0,0
2025-11-22,89924.86189725011,89924.86189725011,0.0,0
2025-11-23,89924.86189725011,89924.86189725011,0.0,0
2025-11-24,89924.86189725011,89924.86189725011,0.0,0
2025-11-25,89924.86189725011,89924.86189725011,0.0,0
2025-11-26,89924.86189725011,89924.86189725011,0.0,0
2025-11-27,89924.86189725011,89924.86189725011,0.0,0
2025-11-28,89924.86189725011,89924.86189725011,0.0,0
2025-11-29,89924.86189725011,89924.86189725011,0.0,0
2025-11-30,89924.86189725011,89924.86189725011,0.0,0
2025-12-01,89924.86189725011,89924.86189725011,0.0,0
2025-12-02,89924.86189725011,89924.86189725011,0.0,0
2025-12-03,89924.86189725011,89924.86189725011,0.0,0
2025-12-04,89897.87544619475,71912.90306674472,17984.972379450024,1
2025-12-05,89039.16785149266,89039.16785149266,0.0,0
2025-12-06,89039.16785149266,89039.16785149266,0.0,0
2025-12-07,89012.44719722043,71204.6136269219,17807.83357029853,1
2025-12-08,89155.95354833639,71204.6136269219,17951.33992141449,1
2025-12-09,89949.93336070576,35154.42515208645,54795.508208619314,3
2025-12-10,88947.94358419371,17332.794886135285,71615.14869805842,4
2025-12-11,87684.01934631338,17332.794886135285,70351.22446017808,4
2025-12-12,85404.07595860548,16343.548949016997,69060.52700958848,4
2025-12-13,85999.01550846438,16343.548949016997,69655.46655944738,4
2025-12-14,84317.08727493446,33369.66926976798,50947.41800516647,3
2025-12-15,82808.98459649536,66724.29615508506,16084.688441410295,1
2025-12-16,82771.0522759583,82771.0522759583,0.0,0
2025-12-17,82771.0522759583,82771.0522759583,0.0,0
2025-12-18,82771.0522759583,82771.0522759583,0.0,0
2025-12-19,82771.0522759583,82771.0522759583,0.0,0
2025-12-20,82771.0522759583,82771.0522759583,0.0,0
2025-12-21,82671.73862202949,16484.698349566428,66187.04027246305,4
2025-12-22,82867.31665596209,33190.07672769319,49677.2399282689,3
2025-12-23,82060.23570624737,82060.23570624737,0.0,0
2025-12-24,82060.23570624737,82060.23570624737,0.0,0
2025-12-25,82060.23570624737,82060.23570624737,0.0,0
2025-12-26,82060.23570624737,82060.23570624737,0.0,0
2025-12-27,82060.23570624737,82060.23570624737,0.0,0
2025-12-28,82060.23570624737,82060.23570624737,0.0,0
2025-12-29,82060.23570624737,82060.23570624737,0.0,0
2025-12-30,82060.23570624737,82060.23570624737,0.0,0
2025-12-31,82060.23570624737,82060.23570624737,0.0,0
2026-01-01,82035.60942951194,65623.56228826246,16412.047141249473,1
2026-01-02,82288.66810263337,49136.18597680712,33152.482125826245,2
2026-01-03,82591.73688742015,16035.019916842019,66556.71697057813,4
2026-01-04,84218.01229407337,16035.019916842019,68182.99237723135,4
2026-01-05,85713.11236393523,16035.019916842019,69678.09244709321,4
2026-01-06,86248.02143286556,16035.019916842019,70213.00151602353,4
2026-01-07,83836.2338496486,16035.019916842019,67801.21393280658,4
2026-01-08,83152.30401580845,16035.019916842019,67117.28409896643,4
2026-01-09,82634.06573722823,16035.019916842019,66599.0458203862,4
2026-01-10,82583.6299790687,16035.019916842019,66548.61006222668,4
2026-01-11,82711.4634541108,16035.019916842019,66676.44353726877,4
2026-01-12,82299.11054234585,16035.019916842019,66264.09062550383,4
